,text,labels
0,complex langevin (cl) dynamics  .,"[2, 2, 2, 0, 0]"
1,this work shows how our approach based on the combination of statistical mechanics and nonlinear pdes theory provides us with a novel and powerful tool to tackle phase transitions.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,this method leads to solution of perhaps the most known test-case that exhibits a first order phase transition (semi-heuristically described) such as the van der waals model.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,in particular we have obtained the first global mean field partition function (eq.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0]"
4,"(9)), for a system of finite number of particles.","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"the partition function is a solution to the klein–gordon equation, reproduces the van der waals isotherms away from the critical region and, in the thermodynamic limit n→∞ automatically encodes the maxwell equal areas rule.","[0, 2, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,"the approach hereby presented is of remarkable simplicity, has been successfully applied to spin   and can be further extended to include the larger class of models admitting partition functions of the form (4) to be used to extend to the critical region general equations of state of the form (7) including a class virial expansions.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
7,this work shows how our approach based on the combination of statistical mechanics and nonlinear pdes theory provides us with a novel and powerful tool to tackle phase transitions. this method leads to solution of perhaps the most known test-case that exhibits a first order phase transition (semi-heuristically described) such as the van der waals model.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,this method leads to solution of perhaps the most known test-case that exhibits a first order phase transition (semi-heuristically described) such as the van der waals model. in particular we have obtained the first global mean field partition function (eq.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0]"
9,"in particular we have obtained the first global mean field partition function (eq. (9)), for a system of finite number of particles.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,"(9)), for a system of finite number of particles. the partition function is a solution to the klein–gordon equation, reproduces the van der waals isotherms away from the critical region and, in the thermodynamic limit n→∞ automatically encodes the maxwell equal areas rule.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
